assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,i_d,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,2,100,100,0,200641,0,0,-4,4,9.7,0,3,0.0,0.0,0,Reiss,['form'],0,0,2.4,21,False,4.2,70,,2020-12-31T11:00:17.325196Z,51,0,0,0,200641.jpg,1.0,0,0,Nelson,0.0,False,,a,1,3,10.0,2,2277,20,6791,23,0.0,0.4,Nelson,0
1,4,84,,,0,205533,0,0,-6,6,58.8,0,4,0.0,0.0,0,Edward,['form'],6,1,24.9,22,False,74.4,317,,,54,0,0,0,205533.jpg,1.9,0,0,Nketiah,0.5,False,,a,1,3,120.0,27,54968,208,155916,371,0.0,5.0,Nketiah,0
5,0,194,100,100,6,209289,0,0,-3,3,283.5,0,3,1.0,1.0,1,Emile,['form'],7,0,58.5,23,False,162.6,943,,2021-02-28T15:30:22.653902Z,42,0,0,0,209289.jpg,3.3,0,0,Smith Rowe,2.3,False,,a,1,3,138.0,46,541840,6731,378989,7584,0.2,11.0,Smith Rowe,0
4,8,347,75,75,6,223340,0,0,-2,2,512.0,2,3,1.0,1.0,2,Bukayo,['form'],27,5,181.6,24,False,428.6,2071,Hamstring injury - 75% chance of playing,2021-03-26T23:30:23.436031Z,53,1,0,0,223340.jpg,3.8,0,0,Saka,8.7,False,,d,1,3,876.0,96,1671237,5070,1544202,38872,0.2,18.1,Saka,1
0,0,0,0,0,0,242166,0,0,-3,3,0.0,0,3,0.0,0.0,0,Matteo,['form'],0,0,0.0,25,False,0.0,0,Joined Hertha Berlin on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T17:00:15.072120Z,47,0,0,0,242166.jpg,0.0,0,0,Guendouzi,0.1,False,,u,1,3,0.0,0,2725,0,13158,5,0.0,0.0,Guendouzi,0
0,0,21,100,100,2,444145,0,0,-1,1,17.9,0,3,0.3,0.3,1,Gabriel Teodoro,['form'],0,0,11.1,26,False,18.6,216,,2021-01-09T23:30:20.360437Z,49,0,0,0,444145.jpg,1.7,0,0,Martinelli Silva,0.1,False,,a,1,3,76.0,10,85904,115,85482,167,0.1,2.0,Martinelli,0
0,0,0,0,0,0,462424,0,0,-5,5,0.0,0,2,0.0,0.0,0,William,['form'],0,0,0.0,27,False,0.0,0,Joined Nice on loan until the end of the season on 4/1. - Expected back 01 Jul,2021-01-04T23:00:20.315877Z,40,0,0,0,462424.jpg,0.0,0,0,Saliba,0.5,False,,u,1,3,0.0,0,30961,0,227303,98,0.0,0.0,Saliba,0
0,0,183,100,100,2,131897,0,0,-3,3,0.3,0,1,0.0,0.0,0,Mathew,['form'],20,0,17.8,70,False,178.0,1080,,2021-02-01T19:30:26.014607Z,42,0,0,0,131897.jpg,2.4,0,23,Ryan,6.1,False,,a,1,3,0.0,29,495431,442,1272033,3022,0.0,6.9,Ryan,1
7,6,246,75,75,2,47431,0,0,-5,5,410.9,1,3,1.7,1.7,0,Willian,['form'],16,0,79.9,478,False,187.2,1190,Calf injury - 75% chance of playing,2021-03-19T01:00:27.116549Z,75,0,0,0,47431.jpg,3.0,0,0,Borges Da Silva,2.8,False,,d,1,3,197.0,63,805815,66,1362488,6733,0.3,8.4,Willian,0
0,6,270,100,100,3,226597,0,0,-1,1,24.6,1,2,0.7,0.7,0,Gabriel,['form'],18,2,53.6,494,False,347.4,1366,,2020-12-26T18:00:16.873188Z,49,0,0,0,226597.jpg,3.3,1,0,Magalhães,4.5,False,,a,1,3,163.0,53,1031624,418,1180113,1810,0.1,10.8,Gabriel,1
2,3,230,100,100,4,182539,0,0,-3,3,275.0,0,3,0.3,0.3,0,Daniel,['form'],14,0,58.7,501,False,250.4,1117,,2021-01-18T22:00:23.859834Z,47,0,0,0,182539.jpg,2.1,0,0,Ceballos Fernández,0.7,False,,a,1,3,61.0,40,141228,54,244383,226,0.1,8.5,Ceballos,3
0,0,171,100,100,3,153256,0,0,-3,3,77.9,0,3,0.3,0.3,0,Mohamed Naser,['form'],14,0,22.7,526,False,121.8,1072,,2020-11-16T22:00:27.131231Z,42,0,0,0,153256.jpg,1.8,0,0,El Sayed Elneny,1.0,False,,a,1,3,29.0,29,290563,609,282305,1393,0.1,6.9,Elneny,2
0,0,0,0,0,0,113534,0,0,0,0,0.0,0,1,0.0,0.0,0,Matt,['form'],0,0,0.0,527,False,0.0,0,Transferred to Hibernian,2021-01-09T10:26:30.856796Z,40,0,0,0,113534.jpg,0.0,0,0,Macey,1.0,False,,u,1,3,0.0,0,171821,0,143642,723,0.0,0.0,Macey,0
0,0,8,100,100,0,115918,0,0,-1,1,0.0,0,1,0.0,0.0,0,Rúnar Alex,['form'],0,0,1.7,547,False,16.6,15,,2021-02-21T22:00:20.597889Z,44,0,0,0,115918.jpg,1.0,0,2,Rúnarsson,0.0,False,,a,1,3,0.0,1,5191,47,4827,54,0.0,0.2,Rúnarsson,0
1,0,169,100,100,3,167199,0,0,-1,1,136.4,0,3,2.0,2.0,2,Thomas,['form'],13,0,38.6,567,False,175.4,961,,2021-02-06T17:30:27.330271Z,49,0,0,0,167199.jpg,1.9,0,0,Partey,0.3,False,,a,1,3,73.0,28,117890,298,111358,373,0.4,5.7,Partey,3
0,3,96,,,0,184029,0,0,0,0,159.1,1,3,4.7,4.7,2,Martin,['form'],8,1,37.2,645,False,91.0,471,,,60,0,0,0,184029.jpg,2.6,0,0,Ødegaard,2.2,False,,a,1,3,123.0,21,223611,14382,45426,15017,0.8,3.5,Ødegaard,0
0,23,638,,,14,98980,0,0,9,-9,20.0,2,1,3.2,2.7,1,Emiliano,['form'],30,0,76.2,12,True,745.0,2520,,,54,0,0,1,98980.jpg,5.5,0,99,Martínez,41.4,False,,a,2,7,0.0,153,3825654,15476,1280651,15884,0.6,28.3,Martínez,0
0,0,0,100,100,0,21205,0,0,0,0,0.0,0,1,0.0,-0.5,0,Tom,['form'],0,0,0.0,28,False,0.0,0,,2020-08-15T10:00:11.430596Z,45,0,0,0,21205.jpg,0.0,0,0,Heaton,0.1,False,,a,2,7,0.0,0,5645,61,6788,73,0.0,0.0,Heaton,0
0,4,139,,,3,37339,0,0,-2,2,134.0,1,2,3.0,2.5,0,Ahmed,['form'],4,0,29.0,29,False,117.6,608,,,43,0,0,0,37339.jpg,2.7,0,0,El Mohamady,0.4,False,,a,2,7,37.0,30,48968,264,52934,1175,0.7,7.0,El Mohamady,2
0,0,0,0,0,0,40564,0,0,-2,2,0.0,0,3,0.0,0.0,0,Henri,['form'],0,0,0.0,30,False,0.0,0,Not included in Aston Villa's 25-man Premier League squad,2020-10-20T22:30:18.217167Z,43,0,0,0,40564.jpg,0.0,0,0,Lansbury,0.1,False,,u,2,7,0.0,0,6231,0,19901,18,0.0,0.0,Lansbury,0
